Name,Platform,Year_of_Release,Publisher,NA_Sales,EU_Sales,Other_Sales
Suggoi! Arcana Heart 2,PS2,2009,AQ Interactive,0,0,0
Arcana Heart,PS2,2007,AQ Interactive,0.06,0.05,0.02
Higurashi no Naku Koro ni: Jan,PSP,2009,AQ Interactive,0,0,0
KORG DS-10 Synthesizer Plus,DS,2009,AQ Interactive,0.07,0,0.01
KORG DS-10 Synthesizer,DS,2008,AQ Interactive,0.19,0.01,0.02
TNN Motor Sports Hardcore 4x4,PS,1996,ASC Games,0.73,0.5,0.09
Dead in the Water,PS,1999,ASC Games,0.03,0.02,0
Animaniacs Ten Pin Alley,PS,1998,ASC Games,0.36,0.25,0.04
Felony 11-79,PS,1997,ASCII Entertainment,0.06,0.04,0.01
Derby Stallion,PS,1997,ASCII Entertainment,0,0,0.14
Derby Stallion 96,SNES,1996,ASCII Entertainment,0,0,0.01
Aero Gauge,N64,1997,ASCII Entertainment,0.06,0.01,0
Derby Stallion,SAT,1999,ASCII Entertainment,0,0,0
Mini-Yonku Shining Scorpion: Let's & Go!!,SNES,1996,ASCII Entertainment,0,0,0
Seaman: Kindan no Pet - Gaze Hakushi no Jikken Shima,PS2,2001,ASCII Entertainment,0,0,0
Bass Landing,PS,1999,ASCII Entertainment,0.21,0.14,0.04
Derby Stallion 98,SNES,1998,ASCII Entertainment,0,0,0
Backstreet Billiards,PS,1998,ASCII Entertainment,0.19,0.13,0.02
Clock Tower,PS,1996,ASCII Entertainment,0.07,0.05,0.03
Wizardry VI: Bane of the Cosmic Forge,SNES,1995,ASCII Entertainment,0,0,0
Derby Stallion 99,PS,1999,ASCII Entertainment,0,0,0.07
Derby Stallion II,SNES,1994,ASCII Entertainment,0,0,0
Moon,PS,1997,ASCII Entertainment,0,0,0.01
RPG Maker,PS,1997,ASCII Entertainment,0.11,0.07,0.03
Derby Stallion III,SNES,1995,ASCII Entertainment,0,0,0
Sound Novel Tsukuru,SNES,1996,ASCII Entertainment,0,0,0
Mini-Yonku GB: Let's & Go!!,GB,1997,ASCII Entertainment,0,0,0
RPG Tsukuru 2,SNES,1996,ASCII Entertainment,0,0,0
Dengeki Gakuen RPG: Cross of Venus Special,DS,2011,ASCII Media Works,0,0,0
Durarara!! 3-way Standoff,PSP,2010,ASCII Media Works,0,0,0
Ookami to Koushinryou: Omiowataru Kaze,DS,2009,ASCII Media Works,0,0,0
Golden Time: Vivid Memories,PSV,2014,ASCII Media Works,0,0,0
Dengeki Gakuen RPG: Cross of Venus,DS,2009,ASCII Media Works,0,0,0
Marriage Royale: Prism Story,PSP,2010,ASCII Media Works,0,0,0
Ookami to Koushinryou: Boku to Horo no Ichinen,DS,2008,ASCII Media Works,0,0,0
Twinkle * Crusaders GoGo!,PSP,2010,ASCII Media Works,0,0,0
Big Ichigeki! Pachi-Slot Taikouryku Universal Museum,SAT,1996,ASK,0,0,0
Man vs. Wild,PS3,2010,Abylight,0.07,0,0.01
NBA Jam 2000,N64,1999,Acclaim Entertainment,0.12,0.01,0
Alias,PS2,2004,Acclaim Entertainment,0.05,0.04,0.01
D,PS,1995,Acclaim Entertainment,0,0,0.01
Vexx,XB,2003,Acclaim Entertainment,0.08,0.02,0
Bubble Bobble also featuring Rainbow Islands,PS,1995,Acclaim Entertainment,0.04,0.02,0
Viz,N64,1998,Acclaim Entertainment,0.23,0.06,0
Dave Mirra Freestyle BMX 3,GBA,2002,Acclaim Entertainment,0.02,0.01,0
Showdown: Legends of Wrestling,XB,2004,Acclaim Entertainment,0.09,0.03,0
The Crow: City of Angels,PS,1997,Acclaim Entertainment,0.01,0.01,0
Turok: Evolution,GC,2002,Acclaim Entertainment,0.3,0.08,0.01
ZooCube,GC,2002,Acclaim Entertainment,0.02,0,0
Turok: Dinosaur Hunter,N64,1997,Acclaim Entertainment,0,0,0
ECW Anarchy Rulz,PS,1999,Acclaim Entertainment,0.06,0.04,0.01
Burnout,GC,2002,Acclaim Entertainment,0.23,0.06,0.01
Gladiator: Sword of Vengeance,PS2,2003,Acclaim Entertainment,0.06,0.05,0.02
NBA Jam 99,N64,1998,Acclaim Entertainment,0.25,0.02,0
Worms Forts: Under Siege,PS2,2004,Acclaim Entertainment,0.05,0.04,0.01
Legends of Wrestling II,PS2,2002,Acclaim Entertainment,0.16,0.13,0.04
World Championship Rugby,PS2,2004,Acclaim Entertainment,0.06,0.04,0.01
Revolution X,PS,1995,Acclaim Entertainment,0.06,0.04,0.01
All-Star Baseball 2000,N64,1999,Acclaim Entertainment,0.36,0.03,0
Aggressive Inline,PS2,2002,Acclaim Entertainment,0.17,0.13,0.04
Speed Kings,PS2,2003,Acclaim Entertainment,0.05,0.04,0.01
Fantastic Four,PS,1997,Acclaim Entertainment,0.04,0.03,0
Darius Gaiden,SAT,1995,Acclaim Entertainment,0,0,0
Vexx,GC,2003,Acclaim Entertainment,0.05,0.01,0
NFL Quarterback Club 98,N64,1997,Acclaim Entertainment,1.01,0.05,0.01
Batman & Robin,PS,1998,Acclaim Entertainment,0.06,0.04,0.01
X-Men: Children of the Atom,PS,1998,Acclaim Entertainment,0.06,0.04,0.01
All-Star Baseball 2003,PS2,2002,Acclaim Entertainment,0.38,0.29,0.1
Burnout 2: Point of Impact,PS2,2002,Acclaim Entertainment,0.42,0.32,0.11
Turok 2: Seeds of Evil,N64,1997,Acclaim Entertainment,1.37,0.41,0.04
Dakar 2: The World's Ultimate Rally,GC,2003,Acclaim Entertainment,0.02,0.01,0
Turok: Evolution,PS2,2002,Acclaim Entertainment,0.64,0.5,0.17
ATV Quad Power Racing 2,PS2,2003,Acclaim Entertainment,0.41,0.32,0.11
ECW Hardcore Revolution,PS,1999,Acclaim Entertainment,0.27,0.18,0.03
Turok: Evolution,XB,2002,Acclaim Entertainment,0.39,0.14,0.02
ATV Quad Power Racing 2,XB,2003,Acclaim Entertainment,0.36,0.07,0.01
Ducati World Racing Challenge,PS,2001,Acclaim Entertainment,0.02,0.01,0
All-Star Baseball 2004,PS2,2003,Acclaim Entertainment,0.21,0.16,0.05
NBA Jam,PS2,2003,Acclaim Entertainment,0.2,0.16,0.05
SX Superstar,GC,2003,Acclaim Entertainment,0.03,0.01,0
Alias,XB,2004,Acclaim Entertainment,0.04,0.01,0
NBA Jam Tournament Edition,SNES,1995,Acclaim Entertainment,0.87,0.12,0.02
