Name,Platform,Year_of_Release,Publisher,NA_Sales,EU_Sales,Other_Sales
Pac-Man Fever,PS2,2001,Sony Computer Entertainment,0.25,0.2,0.07
Boku no Natsuyasumi Portable 2: Nazo Nazo Shimai to Chinbotsusen no Himitsu,PSP,2010,Sony Computer Entertainment,0,0,0
Tomba!,PS,1997,Sony Computer Entertainment,0.15,0.1,0.02
Arc the Lad,PS,1995,Sony Computer Entertainment,0,0,0.01
Destruction Derby Raw,PS,2000,Sony Computer Entertainment,0.08,0.05,0.01
Saru! Get You! SaruSaru Daisakusen,PSP,2007,Sony Computer Entertainment,0,0,0
God of War: Ascension,PS3,2013,Sony Computer Entertainment,1.23,0.63,0.35
TalkMan (Japan),PSP,2005,Sony Computer Entertainment,0,0,0
God of War,PS2,2005,Sony Computer Entertainment,2.71,1.29,0.43
Grind Session,PS,2000,Sony Computer Entertainment,0.24,0.17,0.03
SOCOM 3: U.S. Navy SEALs,PS2,2005,Sony Computer Entertainment,1.22,0.34,0.1
Twisted Metal,PS,1995,Sony Computer Entertainment,1.32,0.19,0.05
Buzz! The Schools Quiz,PS2,2008,Sony Computer Entertainment,0,0.02,0.19
Bleach: Heat the Soul 7,PSP,2010,Sony Computer Entertainment,0,0,0
Resistance 2,PS3,2008,Sony Computer Entertainment,1.15,0.84,0.38
Ace Combat 2,PS,1997,Sony Computer Entertainment,0.16,0.11,0.06
MotorStorm RC,PSV,2012,Sony Computer Entertainment,0,0.04,0.01
ICO,PS2,2001,Sony Computer Entertainment,0.23,0.18,0.06
Buzz! The Music Quiz,PS2,2005,Sony Computer Entertainment,0,1.18,0.43
Syphon Filter 3,PS,2001,Sony Computer Entertainment,0.29,0.2,0.03
Jackie Chan: Stuntmaster,PS,1999,Sony Computer Entertainment,0.12,0.08,0.01
Ferrari F355 Challenge,PS2,2002,Sony Computer Entertainment,0.03,0.02,0.01
Moto Racer World Tour,PS,2000,Sony Computer Entertainment,0.21,0.14,0.02
Minna no Golf Jou Vol.1,PSP,2007,Sony Computer Entertainment,0,0,0
SOCOM 4: U.S. Navy SEALs,PS3,2011,Sony Computer Entertainment,0.66,0.11,0.08
LittleBigPlanet,PS3,2008,Sony Computer Entertainment,2.8,1.98,0.87
Interactive Sampler Disc 6,PS,1997,Sony Computer Entertainment,0.08,0.05,0.01
The Granstream Saga,PS,1997,Sony Computer Entertainment,0.08,0.05,0.01
DanceStar Party,PS3,2011,Sony Computer Entertainment,0,0.34,0.1
Ecco the Dolphin: Defender of the Future,PS2,2002,Sony Computer Entertainment,0.07,0.05,0.02
Arc the Lad: Twilight of the Spirits,PS2,2003,Sony Computer Entertainment,0.18,0.14,0.05
ESA Foundation Compilation,PS2,2005,Sony Computer Entertainment,0.1,0.07,0.02
NBA 08,PSP,2007,Sony Computer Entertainment,0.03,0,0
The Con,PSP,2005,Sony Computer Entertainment,0.18,0,0.02
Jampack Winter 2003 (RP-M),PS2,2003,Sony Computer Entertainment,0.22,0.18,0.06
Hot Shots Golf: World Invitational,PSV,2011,Sony Computer Entertainment,0.15,0.11,0.05
SingStar Apres-Ski Party 2,PS3,2010,Sony Computer Entertainment,0,0.06,0.01
Namco Tennis Smash Court,PS,1995,Sony Computer Entertainment,0,0,0.02
MotorStorm: Apocalypse,PS3,2011,Sony Computer Entertainment,0.21,0.19,0.08
Cart World Series,PS,1997,Sony Computer Entertainment,0.17,0.11,0.02
World Tour Soccer 2003,PS2,2002,Sony Computer Entertainment,0.07,0.05,0.02
Turbo Prop Racing,PS,1997,Sony Computer Entertainment,0.08,0.06,0.01
SingStar Pop Vol.2,PS2,2008,Sony Computer Entertainment,0.09,0.07,0.02
Tomba! 2: The Evil Swine Return,PS,1999,Sony Computer Entertainment,0.16,0.11,0.02
Rise of the Kasai,PS2,2005,Sony Computer Entertainment,0.09,0.07,0.02
God of War: Origins Collection,PS3,2011,Sony Computer Entertainment,0.39,0.08,0.06
MLB 2002,PS,2001,Sony Computer Entertainment,0.24,0.16,0.03
PaRappa The Rapper,PSP,2006,Sony Computer Entertainment,0.11,0,0.02
God of War: Chains of Olympus,PSP,2008,Sony Computer Entertainment,1.48,1,0.66
Armored Core,PS,1997,Sony Computer Entertainment,0.13,0.09,0.03
SingStar Vol. 2,PS3,2008,Sony Computer Entertainment,0.29,0.39,0.12
Carnival Island,PS3,2011,Sony Computer Entertainment,0.13,0.06,0.04
Jak X: Combat Racing,PS2,2005,Sony Computer Entertainment,0.45,0.02,0.07
Pet in TV,PS,1997,Sony Computer Entertainment,0,0,0.03
Bleach: Blade Battlers 2nd,PS2,2007,Sony Computer Entertainment,0,0,0
NBA 06,PS2,2005,Sony Computer Entertainment,0.26,0.2,0.07
Neopets: The Darkest Faerie,PS2,2005,Sony Computer Entertainment,0.15,0.12,0.04
Soul Sacrifice,PSV,2013,Sony Computer Entertainment,0.15,0.08,0.06
Doko Demo Issyo,PS,1999,Sony Computer Entertainment,0,0,0.07
The Heavy Rain and Beyond: Two Souls Collection,PS4,2016,Sony Computer Entertainment,0,0.17,0.03
Jampack Volume 12,PS2,2005,Sony Computer Entertainment,0.15,0.12,0.04
NFL GameDay 2001,PS,2000,Sony Computer Entertainment,0.56,0.38,0.07
Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,PS,2003,Sony Computer Entertainment,0.23,0.15,0.03
Ape Escape,PS3,2010,Sony Computer Entertainment,0,0.03,0.01
Gravity Rush Remastered,PS4,2015,Sony Computer Entertainment,0.02,0.05,0.01
Klonoa: Door to Phantomile,PS,1997,Sony Computer Entertainment,0,0,0.01
Wild ARMs: Alter Code F,PS2,2003,Sony Computer Entertainment,0.05,0.04,0.01
MLB 08: The Show,PS3,2008,Sony Computer Entertainment,0.64,0,0.05
Little Deviants,PSV,2011,Sony Computer Entertainment,0.14,0.12,0.04
Jampack Volume 13 (RP-T),PS2,2005,Sony Computer Entertainment,0.31,0.24,0.08
White Knight Chronicles: International Edition,PS3,2008,Sony Computer Entertainment,0.33,0.16,0.08
Jampack Winter 2003 (RP-T),PS2,2003,Sony Computer Entertainment,0.19,0.15,0.05
SingStar Abba,PS3,2008,Sony Computer Entertainment,0.27,0.5,0.16
Cool Boarders 2001,PS2,2001,Sony Computer Entertainment,0.16,0.13,0.04
MLB 16: The Show,PS3,2016,Sony Computer Entertainment,0.16,0,0.04
NCAA GameBreaker 2001,PS2,2000,Sony Computer Entertainment,0.07,0.06,0.02
NBA ShootOut,PS,1995,Sony Computer Entertainment,0.17,0.12,0.02
I-Ninja,PS2,2003,Sony Computer Entertainment,0.19,0.15,0.05
Barbie: Race & Ride,PS,1999,Sony Computer Entertainment,0.33,0.22,0.04
Warhawk,PS,1995,Sony Computer Entertainment,0.25,0.17,0.03
MLB 08: The Show,PSP,2008,Sony Computer Entertainment,0.3,0,0.02
Extermination,PS2,2001,Sony Computer Entertainment,0.21,0.16,0.05
Kinetica,PS2,2001,Sony Computer Entertainment,0.16,0.12,0.04
Buzz! Quiz TV,PS3,2008,Sony Computer Entertainment,0.28,0.47,0.13
Beyond The Beyond,PS,1995,Sony Computer Entertainment,0.11,0.08,0.04
Buzz! Master Quiz,PSP,2008,Sony Computer Entertainment,0.2,0.44,0.23
Mortal Kombat 3,PS,1995,Sony Computer Entertainment,0.29,0.2,0.04
LocoRoco 2,PSP,2008,Sony Computer Entertainment,0.21,0.09,0.04
Formula One 2001,PS2,2001,Sony Computer Entertainment,0.13,0.1,0.03
Ratchet & Clank: Quest for Booty,PS3,2008,Sony Computer Entertainment,0,0.52,0.04
Secret Agent Clank(US sales),PSP,2008,Sony Computer Entertainment,0.33,0.22,0
Patapon 3,PSP,2011,Sony Computer Entertainment,0.05,0.03,0.02
Jampack Volume 13 (RP-M),PS2,2005,Sony Computer Entertainment,0.37,0.01,0.06
Cool Boarders 2001,PS,2000,Sony Computer Entertainment,0.23,0.16,0.03
WRC: World Rally Championship,PS2,2001,Sony Computer Entertainment,0.12,0.09,0.03
The Fifth Element,PS,1998,Sony Computer Entertainment,0.08,0.05,0.01
SingStar Summer Party,PS2,2008,Sony Computer Entertainment,0,0.06,0.48
Boku no Natsuyasumi 3: Hokkoku Hen: Chiisana Boku no Dai Sougen​,PS3,2007,Sony Computer Entertainment,0,0,0
Jampack: Summer 2003 (RP-M),PS2,2003,Sony Computer Entertainment,0.15,0.12,0.04
Cardinal Syn,PS,1998,Sony Computer Entertainment,0.08,0.06,0.01
Jampack Fall 2001,PS,2001,Sony Computer Entertainment,0.33,0.22,0.04
MLB 2006,PS2,2005,Sony Computer Entertainment,0.33,0.01,0.05
EyeCreate,PS3,2007,Sony Computer Entertainment,0,0.07,0.01
Princess Maker: Yumemiru Yosei,PS,1997,Sony Computer Entertainment,0,0,0.01
Bleach: Heat the Soul 4,PSP,2007,Sony Computer Entertainment,0,0,0
SingStar Fussballhits,PS3,2010,Sony Computer Entertainment,0,0.02,0.01
Hyakumanton no Bara Bara,PSP,2010,Sony Computer Entertainment,0,0,0
NCAA Final Four 2001,PS,2000,Sony Computer Entertainment,0.09,0.06,0.01
inFAMOUS: Second Son,PS4,2014,Sony Computer Entertainment,1.28,0.98,0.46
NFL GameDay 2004,PS2,2003,Sony Computer Entertainment,0.2,0.16,0.05
NCAA Final Four 2002,PS2,2001,Sony Computer Entertainment,0.15,0.12,0.04
Jampack Spring 2004 (RP-T),PS2,2003,Sony Computer Entertainment,0.2,0.16,0.05
PlayStation VR Worlds,PS4,2016,Sony Computer Entertainment,0.06,0.14,0.04
Airblade,PS2,2001,Sony Computer Entertainment,0.11,0.09,0.03
Trick x Logic: Season 2,PSP,2010,Sony Computer Entertainment,0,0,0
Ghosthunter,PS2,2003,Sony Computer Entertainment,0.04,0.03,0.01
SingStar Singalong With Disney,PS2,2008,Sony Computer Entertainment,0,0.04,0.57
Jumping Flash!,PS,1995,Sony Computer Entertainment,0.05,0.03,0.02
Dog's Life,PS2,2003,Sony Computer Entertainment,0.21,0.16,0.05
Tekken,PS,1995,Sony Computer Entertainment,0.95,1.3,0.22
Namco Museum Vol.1,PS,1995,Sony Computer Entertainment,2.12,1.44,0.06
NHL FaceOff 98,PS,1997,Sony Computer Entertainment,0.28,0.19,0.03
Finny the Fish & the Seven Waters,PS2,2004,Sony Computer Entertainment,0.02,0.02,0.01
MLB 08: The Show,PS2,2008,Sony Computer Entertainment,0.35,0.01,0.06
Rain (2013),PS3,2013,Sony Computer Entertainment,0,0,0
Medieval Moves: Deadmund's Quest,PS3,2011,Sony Computer Entertainment,0.13,0.11,0.04
ESPN X-Games Pro Boarder,PS,1997,Sony Computer Entertainment,0.18,0.12,0.02
Here They Lie,PS4,2016,Sony Computer Entertainment,0,0.02,0
The ICO & Shadow of the Colossus Collection,PS3,2011,Sony Computer Entertainment,0.67,0.34,0.17
NBA 06,PSP,2005,Sony Computer Entertainment,0.2,0,0.02
SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005,Sony Computer Entertainment,1.03,0,0.08
MLB 2000,PS,1999,Sony Computer Entertainment,0.52,0.35,0.06
Dual Hearts,PS2,2002,Sony Computer Entertainment,0.03,0.02,0.01
Nightmare Creatures,PS,1997,Sony Computer Entertainment,0.35,0.24,0.04
Namco Museum Battle Collection,PSP,2005,Sony Computer Entertainment,0.75,0.18,0.16
NFL GameDay 2001,PS2,2000,Sony Computer Entertainment,0.18,0.14,0.05
NFL GameDay 2002,PS,2001,Sony Computer Entertainment,0.23,0.15,0.03
Genji: Dawn of the Samurai,PS2,2005,Sony Computer Entertainment,0.11,0.09,0.03
Resistance 3,PS3,2011,Sony Computer Entertainment,0.64,0.57,0.22
World Tour Soccer,PSP,2005,Sony Computer Entertainment,0.1,0.63,0.34
Uncharted: Golden Abyss,PSV,2011,Sony Computer Entertainment,0.53,0.66,0.22
NFL GameDay,PS,1995,Sony Computer Entertainment,0.47,0.32,0.06
NHL FaceOff 2001,PS2,2001,Sony Computer Entertainment,0.1,0.07,0.02
WipEout Pure,PSP,2005,Sony Computer Entertainment,0.47,0.34,0.23
Point Blank,PS,1997,Sony Computer Entertainment,0.05,0.03,0.02
NBA 08,PS2,2007,Sony Computer Entertainment,0.06,0.05,0.02
Ore no Shikabane o Koete Yuke,PSP,2011,Sony Computer Entertainment,0,0,0
Killzone: Shadow Fall,PS4,2013,Sony Computer Entertainment,0.89,1.33,0.39
SingStar '80s,PS2,2005,Sony Computer Entertainment,0.27,0.02,1.02
NBA,PSP,2005,Sony Computer Entertainment,0.2,0,0.02
Gran Turismo 6,PS3,2013,Sony Computer Entertainment,0.72,1.67,0.44
Stolen Song,PS,1998,Sony Computer Entertainment,0,0,0.01
Covert Ops: Nuclear Dawn,PS,2000,Sony Computer Entertainment,0.13,0.09,0.02
Ace Combat 3: Electrosphere,PS,1999,Sony Computer Entertainment,0.22,0.15,0.05
Ratchet & Clank: All 4 One,PS3,2011,Sony Computer Entertainment,0.75,0.21,0.12
Invizimals: The Alliance,PSV,2013,Sony Computer Entertainment,0,0.06,0.02
SingStar: Back to the 80s,PS3,2011,Sony Computer Entertainment,0,0.16,0.04
Ratchet: Deadlocked,PS2,2005,Sony Computer Entertainment,0.85,0.03,0.14
Sly 2: Band of Thieves,PS3,2010,Sony Computer Entertainment,0,0.05,0.02
Shadow of the Colossus,PS2,2005,Sony Computer Entertainment,0.78,0.03,0.13
Frequency,PS2,2001,Sony Computer Entertainment,0.09,0.07,0.02
Rally Cross,PS,1997,Sony Computer Entertainment,0.18,0.12,0.02
Minecraft,PS3,2014,Sony Computer Entertainment,2.03,2.37,0.87
Lifeline,PS2,2003,Sony Computer Entertainment,0.03,0.03,0.01
Boku no Natsuyasumi,PS,2000,Sony Computer Entertainment,0,0,0.03
Twisted Metal: Head On,PSP,2005,Sony Computer Entertainment,0.71,0,0.06
Yarudora Series Vol. 2: Kisetsu wo Dakishimete,PS,1998,Sony Computer Entertainment,0,0,0.01
Dropship: United Peace Force,PS2,2002,Sony Computer Entertainment,0.05,0.04,0.01
Spyro: Year of the Dragon,PS,2000,Sony Computer Entertainment,1.93,1.58,0.19
Uncharted 3: Drake's Deception,PS3,2011,Sony Computer Entertainment,2.77,2.75,1.03
NBA ShootOut '97,PS,1997,Sony Computer Entertainment,0.35,0.24,0.04
Speed Punks,PS,1998,Sony Computer Entertainment,0.11,0.08,0.01
Battle Arena Toshinden 2,PS,1995,Sony Computer Entertainment,0.15,0.1,0.05
Jampack Summer '99,PS,1999,Sony Computer Entertainment,0.54,0.36,0.06
SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Sony Computer Entertainment,0.94,0.16,0.13
The Eye of Judgment: Legends,PSP,2010,Sony Computer Entertainment,0,0,0
The Last of Us,PS4,2014,Sony Computer Entertainment,1.88,2,0.77
Kowloon's Gate,PS,1997,Sony Computer Entertainment,0,0,0.01
NCAA Final Four 2001,PS2,2000,Sony Computer Entertainment,0.09,0.07,0.02
Trick x Logic: Season 1,PSP,2010,Sony Computer Entertainment,0,0,0
Ape Escape: On the Loose,PSP,2005,Sony Computer Entertainment,0.52,0,0.05
Primal,PS2,2003,Sony Computer Entertainment,0.21,0.17,0.06
Klonoa 2: Lunatea's Veil,PS2,2001,Sony Computer Entertainment,0.12,0.1,0.03
Sly 3: Honor Among Thieves,PS2,2005,Sony Computer Entertainment,0.69,0.03,0.11
inFAMOUS 2,PS3,2011,Sony Computer Entertainment,1.05,0.47,0.22
Siren: Blood Curse,PS3,2008,Sony Computer Entertainment,0,0.17,0.01
NFL GameDay 2002,PS2,2001,Sony Computer Entertainment,0.19,0.15,0.05
Air Combat,PS,1995,Sony Computer Entertainment,0.92,0.33,0.05
SingStar Country,PS2,2008,Sony Computer Entertainment,0.14,0.11,0.04
Syphon Filter: Logan's Shadow,PS2,2010,Sony Computer Entertainment,0.03,0.02,0.01
SingStar Abba,PS2,2008,Sony Computer Entertainment,0.23,0.04,1.09
MotorStorm: Pacific Rift,PS3,2008,Sony Computer Entertainment,0.43,0.65,0.25
Rogue Galaxy,PS2,2005,Sony Computer Entertainment,0.24,0.16,0.05
NBA 08,PS3,2007,Sony Computer Entertainment,0.12,0,0.01
Arc the Lad: End of Darkness,PS2,2004,Sony Computer Entertainment,0.03,0.02,0.01
Killzone 3,PS3,2011,Sony Computer Entertainment,1.45,0.86,0.38
MediEvil: Resurrection,PSP,2005,Sony Computer Entertainment,0.19,0.41,0.22
LittleBigPlanet 2,PS3,2011,Sony Computer Entertainment,1.83,1.05,0.46
MLB,PSP,2005,Sony Computer Entertainment,0.23,0,0.02
Jampack Winter 2000,PS,2000,Sony Computer Entertainment,0.55,0.38,0.07
Okage: Shadow King,PS2,2001,Sony Computer Entertainment,0.14,0.11,0.04
Ratchet & Clank: Size Matters,PS2,2008,Sony Computer Entertainment,0.13,0.1,0.03
Resistance: Fall of Man,PS3,2006,Sony Computer Entertainment,1.74,1.72,0.75
SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006,Sony Computer Entertainment,1.74,0.02,0.28
Gravity Rush,PSV,2012,Sony Computer Entertainment,0.21,0.17,0.08
Tekken 3,PS,1998,Sony Computer Entertainment,3.27,2.22,0.29
Pac-Man: Adventures in Time,PSP,2006,Sony Computer Entertainment,0.76,1.09,0.64
Ratchet & Clank: Up Your Arsenal,PS2,2004,Sony Computer Entertainment,1.31,0.74,0.22
Uncharted: Drake's Fortune,PS3,2007,Sony Computer Entertainment,2.31,1.72,0.77
Unit 13,PSV,2012,Sony Computer Entertainment,0.25,0.13,0.07
Disney's Treasure Planet,PS2,2002,Sony Computer Entertainment,0.16,0.13,0.04
Gran Turismo 5 Prologue,PS3,2007,Sony Computer Entertainment,1.28,1.82,0.52
God of War II,PS2,2007,Sony Computer Entertainment,2.32,0.04,1.67
Ratchet & Clank Future: A Crack in Time,PS3,2009,Sony Computer Entertainment,1.05,0.53,0.26
MotorStorm,PS3,2006,Sony Computer Entertainment,1.53,1.6,0.67
Daxter,PSP,2006,Sony Computer Entertainment,2.45,1.01,0.75
MLB 15: The Show,PS3,2015,Sony Computer Entertainment,0.31,0.01,0.07
Rage Racer,PS,1996,Sony Computer Entertainment,0.16,0.11,0.08
MotorStorm: Arctic Edge,PSP,2009,Sony Computer Entertainment,0.16,0.57,0.29
Ratchet & Clank: Size Matters,PSP,2007,Sony Computer Entertainment,1.4,1.39,0.86
LittleBigPlanet,PSP,2009,Sony Computer Entertainment,0.64,1.22,0.67
Gretzky NHL 2005,PS2,2004,Sony Computer Entertainment,0.08,0.07,0.02
Walt Disney's The Jungle Book: Rhythm N'Groove,PS,2000,Sony Computer Entertainment,0.05,0.03,0.01
NBA ShootOut 2004,PS2,2003,Sony Computer Entertainment,0.13,0.1,0.03
God of War Collection,PS3,2009,Sony Computer Entertainment,1.7,0.44,0.4
Bust A Groove,PS,1998,Sony Computer Entertainment,0.09,0.06,0.04
inFAMOUS,PS3,2009,Sony Computer Entertainment,1.76,0.68,0.37
Killzone 2,PS3,2009,Sony Computer Entertainment,1.4,1.06,0.47
Gran Turismo (PSP),PSP,2009,Sony Computer Entertainment,0.5,1.58,0.87
MAG: Massive Action Game,PS3,2010,Sony Computer Entertainment,0.77,0.29,0.16
The Order: 1886,PS4,2015,Sony Computer Entertainment,0.61,0.78,0.27
GunParade Orchestra: Shiro no Shou,PS2,2006,Sony Computer Entertainment,0,0,0
PlayStation All-Stars Battle Royale,PSV,2012,Sony Computer Entertainment,0.21,0.14,0.09
Ghostbusters: The Video Game,PS3,2009,Sony Computer Entertainment,0.34,0.36,0.14
MLB 09: The Show,PS3,2009,Sony Computer Entertainment,0.66,0,0.06
Bleach: Hanatareshi Yabou,PS2,2006,Sony Computer Entertainment,0,0,0
Sly 2: Band of Thieves,PS2,2004,Sony Computer Entertainment,0.88,0.69,0.23
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006,Sony Computer Entertainment,0.81,0.11,0.13
Ratchet & Clank Collection,PS3,2012,Sony Computer Entertainment,0.47,0.13,0.1
Jak 3,PS2,2004,Sony Computer Entertainment,1.33,0.49,0.03
SingStar Rocks!,PS2,2006,Sony Computer Entertainment,0,0.84,0.25
SingStar Legends,PS2,2006,Sony Computer Entertainment,0.12,0.75,0.23
Invizimals,PSP,2009,Sony Computer Entertainment,0.17,0.5,0.11
MLB Pennant Race,PS,1996,Sony Computer Entertainment,0.16,0.11,0.02
God of War Collection,PSV,2014,Sony Computer Entertainment,0.08,0.06,0.05
Spyro the Dragon,PS,1998,Sony Computer Entertainment,3.36,1.36,0.21
SingStar,PS2,2004,Sony Computer Entertainment,0,1.37,0.49
Hermie Hopperhead: Scrap Panic,PS,1995,Sony Computer Entertainment,0,0,0
GunParade Orchestra: Ao no Shou,PS2,2006,Sony Computer Entertainment,0,0,0
Ratchet & Clank Future: Tools of Destruction,PS3,2007,Sony Computer Entertainment,0.93,1.1,0.45
Book of Spells,PS3,2012,Sony Computer Entertainment,0.14,0.39,0.15
Gran Turismo 5,PS3,2010,Sony Computer Entertainment,2.96,4.82,2.11
Resistance: Retribution,PSP,2009,Sony Computer Entertainment,0.27,0.35,0.21
Buzz! The BIG Quiz,PS2,2006,Sony Computer Entertainment,0,1.1,0.39
Buzz! Quiz World,PS3,2009,Sony Computer Entertainment,0.16,0.57,0.19
Rimo-Cocoron,PS2,2001,Sony Computer Entertainment,0,0,0
God of War III,PS3,2010,Sony Computer Entertainment,2.74,1.33,0.61
Crash Bandicoot 3: Warped,PS,1998,Sony Computer Entertainment,3.68,1.75,0.28
Sports Champions,PS3,2010,Sony Computer Entertainment,2.13,1.12,0.5
Hot Shots Golf: Open Tee,PSP,2004,Sony Computer Entertainment,0.5,0.5,0.33
EyePet,PS3,2009,Sony Computer Entertainment,0.35,0.52,0.08
XI Coliseum,PSP,2006,Sony Computer Entertainment,0,0,0
Heavy Rain,PS3,2010,Sony Computer Entertainment,1.29,1.21,0.47
Bogey: Dead 6,PS,1996,Sony Computer Entertainment,0.05,0.04,0.01
Looney Tunes: Galactic Sports,PSV,2015,Sony Computer Entertainment,0,0.02,0.01
Soul Sacrifice Delta,PSV,2014,Sony Computer Entertainment,0,0.08,0.02
Ape Escape 2,PS2,2002,Sony Computer Entertainment,0.12,0.09,0.03
Hot Shots Golf: Out of Bounds,PS3,2007,Sony Computer Entertainment,0.31,0.03,0.04
Uncharted 4: A Thief's End,PS4,2016,Sony Computer Entertainment,1.85,2.5,0.85
SingStar,PS3,2007,Sony Computer Entertainment,0.45,0.56,0.12
White Knight Chronicles II,PS3,2010,Sony Computer Entertainment,0.23,0.09,0.04
Start the Party!,PS3,2010,Sony Computer Entertainment,0.07,0.41,0.13
Dark Cloud,PS2,2000,Sony Computer Entertainment,0.83,0.44,0.19
Kill.Switch,PS2,2003,Sony Computer Entertainment,0.34,0.27,0.09
Fantavision,PS2,2000,Sony Computer Entertainment,0.14,0.11,0.04
Warhawk,PS3,2007,Sony Computer Entertainment,0.49,0.39,0.17
WRC: FIA World Rally Championship,PSP,2005,Sony Computer Entertainment,0.02,0.01,0
The Bouncer,PS2,2000,Sony Computer Entertainment,0.3,0.23,0.08
The Fight: Lights Out,PS3,2010,Sony Computer Entertainment,0.29,0.21,0.09
Arc the Lad II,PS,1996,Sony Computer Entertainment,0,0,0.13
The Sly Collection,PS3,2010,Sony Computer Entertainment,0.52,0.08,0.08
Spyro 2: Ripto's Rage!,PS,1999,Sony Computer Entertainment,2.14,1.21,0.17
Infamous: First Light,PS4,2014,Sony Computer Entertainment,0,0.03,0
MLB 07: The Show,PS2,2007,Sony Computer Entertainment,0.77,0.03,0.13
Coded Soul: Uke Keigareshi Idea,PSP,2008,Sony Computer Entertainment,0,0,0
Buzz! The Mega Quiz,PS2,2007,Sony Computer Entertainment,0.32,0.06,0.5
Philosoma,PS,1995,Sony Computer Entertainment,0.03,0.02,0
Start the Party! Save the World,PS3,2011,Sony Computer Entertainment,0,0.08,0.02
MLB 2004,PS2,2003,Sony Computer Entertainment,0.32,0.25,0.08
ModNation Racers,PSP,2010,Sony Computer Entertainment,0.11,0.26,0.14
SingStar Dance,PS3,2010,Sony Computer Entertainment,0.09,0.31,0.11
Forbidden Siren 2,PS2,2006,Sony Computer Entertainment,0,0,0
Twisted Metal: Black,PS2,2001,Sony Computer Entertainment,1.19,0.17,0.05
Sorcery,PS3,2012,Sony Computer Entertainment,0.14,0.11,0.05
WTF: Work Time Fun,PSP,2005,Sony Computer Entertainment,0.04,0,0
Heavenly Sword,PS3,2007,Sony Computer Entertainment,0.57,0.72,0.29
PoPoLoCrois Monogatari II,PS,2000,Sony Computer Entertainment,0,0,0.01
World Tour Soccer 2006,PS2,2004,Sony Computer Entertainment,0.08,0.06,0.02
ModNation Racers,PS3,2010,Sony Computer Entertainment,0.5,0.4,0.16
Uncharted 2: Among Thieves,PS3,2009,Sony Computer Entertainment,3.27,2.2,0.98
NBA 07,PS3,2006,Sony Computer Entertainment,0.24,0,0.02
Rollcage Stage II,PS,2000,Sony Computer Entertainment,0.05,0.03,0.01
Resistance: Burning Skies,PSV,2012,Sony Computer Entertainment,0.18,0.15,0.06
World Tour Soccer 2005,PS2,2004,Sony Computer Entertainment,0.08,0.06,0.02
Disney's Stitch: Experiment 626,PS2,2002,Sony Computer Entertainment,0.15,0.12,0.04
God of War: Ghost of Sparta,PSP,2010,Sony Computer Entertainment,0.41,0.35,0.21
Disney's Story Studio: Disney's Mulan,PS,1999,Sony Computer Entertainment,0.09,0.06,0.01
Ratchet & Clank: Into the Nexus,PS3,2013,Sony Computer Entertainment,0.3,0.25,0.1
Gran Turismo 4,PS2,2004,Sony Computer Entertainment,3.01,0.01,7.53
Rez,PS2,2001,Sony Computer Entertainment,0.03,0.02,0.01
Toro to Morimori,PS3,2009,Sony Computer Entertainment,0,0,0
Bleach: Heat the Soul 3,PSP,2006,Sony Computer Entertainment,0,0,0
SingStar Pop,PS2,2007,Sony Computer Entertainment,0.04,1.08,0.32
WipEout HD Fury,PS3,2009,Sony Computer Entertainment,0,0.05,0.01
Blood: The Last Vampire (Joukan),PS2,2000,Sony Computer Entertainment,0,0,0
Muppet RaceMania,PS,1999,Sony Computer Entertainment,0.09,0.06,0.01
Peter Pan in Disney's Return to Never Land,PS,2002,Sony Computer Entertainment,0.01,0.01,0
Tsugunai: Atonement,PS2,2001,Sony Computer Entertainment,0.02,0.01,0
Namco Museum Battle Collection (JP sales),PSP,2005,Sony Computer Entertainment,0,0,0
Disney's The Emperor's New Groove,PS,2000,Sony Computer Entertainment,0.17,0.12,0.02
World Tour Soccer 06,PSP,2006,Sony Computer Entertainment,0.07,0,0.01
Wipeout 2048,PSV,2012,Sony Computer Entertainment,0.13,0.17,0.05
MLB 10: The Show,PS3,2010,Sony Computer Entertainment,0.66,0,0.06
I.Q. Remix+: Intelligent Qube,PS2,2000,Sony Computer Entertainment,0,0,0
Crash Team Racing,PS,1999,Sony Computer Entertainment,2.57,1.57,0.21
Monster Kingdom: Jewel Summoner,PSP,2006,Sony Computer Entertainment,0,0,0
The Mark of Kri,PS2,2002,Sony Computer Entertainment,0.22,0.18,0.06
EyeToy Play,PS2,2003,Sony Computer Entertainment,0.88,2.3,0.83
NCAA Gamebreaker,PS,1996,Sony Computer Entertainment,0.15,0.1,0.02
Ratchet & Clank,PS2,2002,Sony Computer Entertainment,1.44,1.01,0.3
Namco Museum Vol.4,PS,1996,Sony Computer Entertainment,0.02,0.01,0.01
Twisted Metal 2,PS,1996,Sony Computer Entertainment,2.12,0.25,0.07
24: The Game,PS2,2006,Sony Computer Entertainment,0.15,0.12,0.04
Battle Arena Toshinden 3,PS,1996,Sony Computer Entertainment,0.06,0.04,0.02
My Street,PS2,2003,Sony Computer Entertainment,0.12,0.09,0.03
Formula 1 06,PS2,2006,Sony Computer Entertainment,0,0,0
